symptom,disease,severity,description,medication,precautions,treatment,diet,when_to_see_doctor
headache,Tension Headache,Mild to Moderate,"A common type of headache characterized by a dull, aching sensation all over the head. Often described as feeling like a tight band around the head.","Ibuprofen 400mg (every 6-8 hours), Paracetamol 500mg (every 4-6 hours), Aspirin 325mg (every 4-6 hours), Sumatriptan 50mg (for severe cases)","Stay hydrated, get adequate sleep, manage stress, avoid loud noises, rest in a dark room, avoid caffeine, practice relaxation techniques","Apply cold or warm compress, gentle massage, relaxation techniques, acupuncture, biofeedback","Stay hydrated, avoid alcohol, limit caffeine, eat regular meals, magnesium-rich foods, ginger tea","If headaches are frequent, severe, or accompanied by fever, confusion, vision changes, or neck stiffness"
fever,Viral Fever,Mild to High,"An elevation in body temperature often indicating the body's immune response to infection.","Paracetamol 500mg (every 6-8 hours), Ibuprofen 400mg (every 8 hours), Aspirin 325mg (for adults only), Acetaminophen 650mg","Rest, stay hydrated, monitor temperature, wear light clothing, take lukewarm baths, avoid alcohol","Plenty of fluids, rest, cool compresses, fever-reducing medications, sponge baths","Light foods, broths, fruits, plenty of water, avoid heavy meals, clear soups, herbal teas","If fever exceeds 103°F (39.4°C), persists for more than 3 days, or if breathing difficulties occur"
cough,Dry Cough,Mild to Moderate,"A persistent cough without phlegm production, often caused by irritation in the throat or airways.","Dextromethorphan 15mg (every 4-6 hours), Honey-based cough syrups, Throat lozenges with menthol, Codeine syrup (prescription), Guaifenesin 400mg","Stay hydrated, avoid irritants like smoke, use humidifier, avoid cold drinks, rest voice","Warm salt water gargles, honey with warm water, steam inhalation, throat sprays, menthol rubs","Warm liquids, honey, ginger tea, avoid cold and spicy foods, licorice tea, marshmallow root","If cough persists for more than 2 weeks, accompanied by blood, or severe chest pain"
sore throat,Pharyngitis,Mild to Moderate,"Inflammation of the pharynx causing pain, scratchiness, or irritation of the throat.","Throat lozenges, Benzocaine throat sprays, Ibuprofen 400mg, Paracetamol 500mg, Amoxicillin 500mg (if bacterial)","Gargle with warm salt water, stay hydrated, avoid shouting, rest voice, avoid smoking","Warm salt water gargles, throat sprays, pain relievers, rest, steam inhalation","Warm liquids, soft foods, honey, avoid spicy and acidic foods, chicken soup, herbal teas","If accompanied by high fever, difficulty swallowing, or white patches on throat"
stomach pain,Gastritis,Mild to Moderate,"Inflammation of the stomach lining causing pain, bloating, and digestive discomfort.","Antacids (Calcium carbonate 500mg), Ranitidine 150mg, Omeprazole 20mg, Pantoprazole 40mg, Sucralfate 1g","Eat small frequent meals, avoid spicy foods, manage stress, don't lie down after eating, avoid NSAIDs","Dietary modifications, stress management, avoid NSAIDs, proper meal timing, probiotics","Bland foods, avoid spicy/acidic foods, small frequent meals, bananas, rice, yogurt, ginger","If pain is severe, persistent, or accompanied by vomiting blood"
cold,Common Cold,Mild,"A viral infection of the upper respiratory tract causing congestion, runny nose, and mild discomfort.","Decongestants (Pseudoephedrine 30mg), Antihistamines (Cetirizine 10mg), Paracetamol 500mg, Zinc lozenges 13mg, Vitamin C 1000mg","Rest, stay hydrated, wash hands frequently, avoid close contact with others, use tissues","Rest, fluids, nasal decongestants, steam inhalation, saline nasal spray","Warm liquids, soups, vitamin C rich foods, honey, ginger tea, chicken soup, garlic","If symptoms worsen after 7 days or accompanied by high fever"
diarrhea,Acute Diarrhea,Mild to Moderate,"Frequent loose or watery bowel movements, often due to infection or dietary issues.","Loperamide 2mg (every 4-6 hours), ORS packets, Probiotics, Zinc supplements 20mg, Bismuth subsalicylate","Stay hydrated, wash hands frequently, avoid dairy, rest, avoid fatty foods","Oral rehydration solution, BRAT diet, rest, avoid anti-diarrheal if fever present","BRAT diet (Bananas, Rice, Applesauce, Toast), clear fluids, avoid dairy and fatty foods, coconut water","If severe dehydration, blood in stool, or high fever occurs"
nausea,Gastroenteritis,Mild to Moderate,"A feeling of sickness with an inclination to vomit, often accompanied by stomach discomfort.","Ondansetron 4mg, Domperidone 10mg, Ginger supplements 250mg, Meclizine 25mg, Promethazine 25mg","Eat small frequent meals, avoid strong odors, stay hydrated, rest, avoid greasy foods","Small sips of clear fluids, ginger tea, rest, avoid solid foods initially, acupressure","Clear liquids, crackers, toast, bananas, avoid fatty and spicy foods, ginger ale, peppermint tea","If accompanied by severe dehydration, high fever, or persistent vomiting"
back pain,Lower Back Strain,Mild to Moderate,"Pain in the lower back region, often due to muscle strain or poor posture.","Ibuprofen 400mg, Diclofenac gel (topical), Muscle relaxants (Cyclobenzaprine 5mg), Paracetamol 500mg, Naproxen 500mg","Maintain good posture, avoid heavy lifting, use proper lifting techniques, apply heat/cold, exercise regularly","Rest, ice/heat therapy, gentle stretching, physical therapy exercises, massage, yoga","Anti-inflammatory foods, adequate calcium and vitamin D, stay hydrated, turmeric, ginger","If pain radiates to legs, numbness occurs, or doesn't improve in 2 weeks"
joint pain,Arthritis,Moderate to High,"Pain, stiffness, and inflammation in one or more joints, affecting mobility and daily activities.","Ibuprofen 400mg, Diclofenac 50mg, Topical pain relievers (Capsaicin cream), Glucosamine 1500mg, Chondroitin 1200mg","Gentle exercise, maintain healthy weight, protect joints, use assistive devices, avoid overuse","Physical therapy, heat/cold therapy, gentle exercise, weight management, acupuncture","Anti-inflammatory foods, omega-3 fatty acids, avoid processed foods, turmeric, ginger, fish oil","If joint becomes severely swollen, red, warm, or movement is significantly limited"
